State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
Odisha,Dhenkanal,15.8,23.0,,,,5.0,72.0,32.0,27.0,Good
Odisha,Angul,15.8,23.0,,,,3.0,66.0,32.0,27.0,Good
Odisha,Athagarh,15.8,23.0,,,,10.0,77.0,31.0,27.0,Good
Odisha,Athmallik,8.1,11.6,,,,2.0,80.0,29.0,14.0,Good
Odisha,Banki,15.8,23.0,,,,10.0,79.0,31.0,27.0,Good
Odisha,Talcher,15.8,23.0,,,,4.0,65.0,32.0,27.0,Good
Odisha,Bhuban,15.8,23.0,,,,6.0,62.0,33.0,27.0,Good
Odisha,Deogarh,7.2,10.2,,,,7.0,73.0,30.0,12.0,Good
Tamil Nadu,Valavanur,6.5,9.6,,,,15.0,54.0,32.0,11.0,Good
Tamil Nadu,Ayan Kurinjipadi,6.5,9.6,,,,14.0,59.0,32.0,11.0,Good
Tamil Nadu,Tindivanam,9.9,14.2,,,,1.0,42.0,34.0,17.0,Good
Tamil Nadu,Bommayapalayam,6.5,9.6,,,,22.0,73.0,29.0,11.0,Good
Tamil Nadu,Viluppuram,6.5,9.6,,,,10.0,44.0,34.0,11.0,Good
Cuddalore,Cuddalore,6.5,9.6,,,,21.0,77.0,29.0,11.0,Good
Tamil Nadu,Vikravandi,9.9,14.2,,,,9.0,44.0,34.0,17.0,Good
Tamil Nadu,Marakkanam,9.9,14.2,,,,19.0,62.0,31.0,17.0,Good
Tamil Nadu,Alappakkam,6.5,9.6,,,,21.0,73.0,30.0,11.0,Good
Tamil Nadu,Thorapadi,6.5,9.6,,,,11.0,56.0,32.0,11.0,Good
Puducherry,Puducherry,6.5,9.6,,,,22.0,73.0,29.0,11.0,Good
Punjab,Kapurthala,58.6,88.6,,,,4.0,57.0,33.0,98.0,Satisfactory
Punjab,Makhu,48.2,77.2,,,,6.0,59.0,33.0,81.0,Satisfactory
Punjab,Nakodar,58.6,88.6,,,,5.0,60.0,32.0,98.0,Satisfactory
Punjab,Nurmahal,58.6,88.6,,,,5.0,61.0,32.0,98.0,Satisfactory
Punjab,Kot Ise Khan,43.8,65.7,,,,7.0,62.0,32.0,74.0,Satisfactory
Punjab,Sultanpur Lodhi,58.6,88.6,,,,5.0,60.0,32.0,98.0,Satisfactory
India,Nagri-Parole,49.6,77.7,,,,6.0,60.0,31.0,83.0,Satisfactory
Punjab,Makhdoom Pura,58.6,88.6,,,,6.0,57.0,32.0,98.0,Satisfactory
Punjab,Jandiala Manjki,58.6,88.6,,,,5.0,60.0,32.0,98.0,Satisfactory
Punjab,Kartarpur,58.6,88.6,,,,4.0,57.0,33.0,98.0,Satisfactory
Punjab,Makhdoom Pura,58.6,88.6,,,,6.0,58.0,32.0,98.0,Satisfactory
Punjab,Shahkot,58.6,88.6,,,,6.0,61.0,32.0,98.0,Satisfactory
Rajasthan,Parbatsar,18.3,28.0,,,,26.0,65.0,30.0,31.0,Good
Rajasthan,Pushkar,18.3,28.0,,,,23.0,64.0,30.0,31.0,Good
Rajasthan,Basni,18.6,32.2,,,,21.0,49.0,33.0,33.0,Good
Rajasthan,Kuchaman City,20.3,32.0,,,,26.0,63.0,31.0,34.0,Good
Rajasthan,Makrana,20.3,32.0,,,,26.0,64.0,30.0,34.0,Good
Rajasthan,Didwana,20.3,32.0,,,,22.0,59.0,31.0,34.0,Good
Rajasthan,Mundwa,18.6,32.2,,,,21.0,50.0,33.0,33.0,Good
Rajasthan,Merta,18.3,28.0,,,,20.0,59.0,32.0,31.0,Good
